page_id,url,suggest,topic,probability
112,https://www.jobcafe-ishikawa.jp/recruit/seminar/,就活 あがり症,16,0.68725157
113,https://www.tochomae.jp/case/detail/sad.html,就活 あがり症,26,0.6659705
114,https://career-ch.com/column/4637,就活 あがり症,22,0.5631006
115,https://daini2.co.jp/wp/article-0797-author-uzuz03/,就活 あがり症,2,0.56364435
116,https://shukatsu-mirai.com/archives/31526,就活 あがり症,22,0.4297543
117,https://www.youtube.com/watch?v=w6u4Jl_0BBg,就活 あがり症,41,0.51
118,http://kicho-navi.jp/interview-nervous/,就活 あがり症,31,0.357628
123,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11162077281,就活 あいさつ こんにちは,22,0.44151825
125,https://www.jobweb.jp/post/a-26698,就活 あいさつ こんにちは,43,0.5711444
128,https://www.nhk.or.jp/bunken/summary/kotoba/term/100.html,就活 あいさつ こんにちは,20,0.3616323
129,https://nani-kore.net/archives/9833.html,就活 あいさつ こんにちは,25,0.47859332
130,https://www.shukatsu-note.com/list-of-category/manners/post-24859/,就活 あいさつ こんにちは,43,0.8505633
131,https://www.syainsemina.co.jp/kensyu/syukatu/04.html,就活 あいさつ こんにちは,22,0.48439297
132,https://www.jobcafe-ishikawa.jp/recruit/advise/p02/,就活 あいさつ こんにちは,2,0.4725223
134,https://job.rikunabi.com/2019/company/r390800044/blog/category/4/,就活 あいさつ こんにちは,47,0.8561262
135,https://matome.naver.jp/odai/2137930410774490001,就活 あいさつ こんにちは,18,0.5255661
136,https://oshiete.goo.ne.jp/qa/2737130.html,就活 あいさつ こんにちは,17,0.4262545
137,https://liginc.co.jp/life/useful-info/147979,就活 あいさつ こんにちは,43,0.7970864
138,https://job.rikunabi.com/2019/company/r390800044/blog/detail/5/,就活 あいさつ こんにちは,13,0.31321573
139,https://www5.dainichi-net.co.jp/jobs/?cat=8&paged=3,就活 あいさつ こんにちは,11,0.6479742
143,https://job.rikunabi.com/contents/entrysheet/3550/,就活 あいさつ文,25,0.4968624
144,https://www.jobweb.jp/post/a-24774,就活 あいさつ文,18,0.6886239
145,https://job.rikunabi.com/contents/internship/2660/,就活 あいさつ文,18,0.5593188
146,https://www.wantedly.com/campaign/shukatsu_mail_template,就活 あいさつ文,18,0.5846932
147,https://mail-reibun.com/5128/kakidashi/,就活 あいさつ文,18,0.8553614
148,https://recruit.nurse-senka.com/html/iroha/send.html,就活 あいさつ文,23,0.5544752
149,https://next.rikunabi.com/tenshokuknowhow/archives/4946/,就活 あいさつ文,18,0.37859744
150,https://tenshoku.mynavi.jp/knowhow/caripedia/64,就活 あいさつ文,25,0.49146912
151,https://careerintern.jp/library/method/how-to-write-thank-you-note/,就活 あいさつ文,18,0.40901354
152,https://www.jp-guide.net/super/rei_jo/naitei.html,就活 あいさつ文,33,0.5434102
153,https://ten-navi.com/hacks/resume-27-3164,就活 あいさつ文,25,0.41271964
154,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q1453785054,就活 あいさつ文,23,0.53094095
155,https://www.rirekisyodo.com/study/jiko-june.html,就活 あいさつ文,23,0.6431545
157,http://www.mpcr-dz.com/taboo/aisatsu-bun.html,就活 あいさつ文,18,0.45172432
158,https://liginc.co.jp/life/useful-info/165153,就活 あいさつ文,43,0.3329146
159,https://www.rirekisyodo.com/study/dear-sir-phrases.html,就活 あいさつ文,23,0.8961554
160,https://kuma.hateblo.jp/entry/20120614/1339686300,就活 あほらしい,2,0.74234325
162,https://matome.naver.jp/odai/2132713089042196501,就活 あほらしい,22,0.93
164,https://www.youtube.com/watch?v=kwy0jnUSlyQ,就活 あほらしい,45,0.31620347
165,https://www.asahi.com/articles/ASLBR4DS4LBRULFA00N.html,就活 あほらしい,5,0.3275482
168,https://www.asahi.com/articles/ASLBS42PQLBSUBQU00L.html,就活 あほらしい,16,0.41889888
169,https://orizuru.io/blog/saiyo/self-analysis-01/,就活 あほらしい,2,0.6605019
170,https://tensei.nanaki.biz/ztsna.html,就活 あほらしい,26,0.87204456
171,https://kikkuchi.com/archives/1840512.html,就活 あほらしい,31,0.2962862
172,https://ji-sedai.jp/special/eventreport/syukatsu_kowakunai.html,就活 あほらしい,2,0.5641641
173,https://blog.goo.ne.jp/mirukikukaku/e/d884be0765cd1a67716e6e3ae15b8772,就活 あほらしい,2,0.3007661
174,https://www.huffingtonpost.jp/tomoyuki-miyazaki/-_107_b_5202322.html,就活 あほらしい,41,0.51
176,https://diamond.jp/articles/-/50149,就活 あほらしい,33,0.6752849
